geolocation_zip_code_prefix,lat,lng,city,n_records
21615,-22.86209078632198,-43.39136925868886,rio de janeiro,127
21616,-22.85387973916863,-43.396809432222284,rio de janeiro,39
21620,-22.839350559609453,-43.40486056012263,rio de janeiro,138
21625,-22.832605349060035,-43.402808561949044,rio de janeiro,66
21630,-22.825649495444644,-43.411649846764305,rio de janeiro,75
21635,-22.83290297152516,-43.41230278119793,rio de janeiro,88
21640,-22.83463324022867,-43.39275636997285,rio de janeiro,23
21645,-22.821385636314904,-43.39760318048674,rio de janeiro,51
21650,-22.816850689474528,-43.374314532417216,rio de janeiro,33
21655,-22.818616394359942,-43.382598700728,rio de janeiro,56
21660,-22.839960552960555,-43.37703910572291,rio de janeiro,86
21665,-22.83427156601059,-43.377978641515625,rio de janeiro,26
21670,-22.849843652150362,-43.3808702413711,rio de janeiro,52
21675,-22.849034554602184,-43.374423646812794,rio de janeiro,64
21710,-22.876979699775763,-43.42527912676291,rio de janeiro,121
21715,-22.879476747053335,-43.44026398123803,rio de janeiro,131
21720,-22.865120805735394,-43.4470342137163,rio de janeiro,53
21721,-22.8753558465787,-43.28063646200473,rio de janeiro,35
21725,-22.85918299393417,-43.456665616338015,rio de janeiro,74
21730,-22.86435505255422,-43.434757144170185,rio de janeiro,69
21735,-22.871537517256936,-43.429726914846995,rio de janeiro,80
21740,-22.88433305340309,-43.387504877344114,rio de janeiro,95
21741,-22.88962788350659,-43.395124429249634,rio de janeiro,77
21745,-22.879549301241177,-43.41011862496182,rio de janeiro,93
21746,-22.885775526693386,-43.4110256032492,rio de janeiro,16
21750,-22.878735432655482,-43.415788362287785,rio de janeiro,109
21755,-22.88385334415563,-43.419136355497564,rio de janeiro,119
21760,-22.89044829208524,-43.42058389455041,rio de janeiro,96
21765,-22.890938364362235,-43.43068537741355,rio de janeiro,160
21770,-22.892257517452293,-43.44208696544872,rio de janeiro,85
21775,-22.886952911633603,-43.446644127201374,rio de janeiro,107
